Codigo;Mes;Demanda_Unid
'1;2020-05-01;6,0
'1;2022-02-01;0,0
'1;2024-11-01;41,0
'10;2021-03-01;45,0
'10;2024-04-01;0,0
'12;2021-06-01;79,0
'13;2023-06-01;19,0
'13;2023-07-01;54,0
'14;2023-07-01;83,0
'14;2024-08-01;0,0
'14;2025-04-01;81,0
'15;2021-09-01;48,0
'15;2024-02-01;0,0
'18;2020-12-01;0,0
'18;2024-02-01;78,0
'18;2024-10-01;54,0
'19;2023-10-01;44,0
'2;2021-12-01;84,0
'2;2023-06-01;50,0
'20;2020-08-01;57,0
'20;2021-04-01;13,0
'20;2022-03-01;41,0
'20;2023-09-01;20,0
'22;2022-09-01;36,0
'24;2021-04-01;47,0
'24;2024-01-01;91,0
'24;2025-12-01;93,0
'25;2020-12-01;92,0
'26;2020-07-01;96,0
'26;2024-12-01;10,0
'26;2025-07-01;94,0
'26;2025-12-01;24,0
'27;2023-04-01;93,0
'27;2024-03-01;63,0
'27;2024-06-01;0,0
'27;2025-05-01;81,0
'28;2024-09-01;34,0
'32;2022-03-01;0,0
'32;2025-02-01;74,0
'33;2023-01-01;75,0
'34;2021-07-01;65,0
'38;2024-09-01;38,0
'39;2020-08-01;16,0
'39;2024-11-01;38,0
'4;2025-03-01;0,0
'4;2025-12-01;0,0
'40;2024-03-01;13,0
'41;2021-01-01;0,0
'43;2021-03-01;0,0
'45;2023-09-01;0,0
'46;2023-04-01;0,0
'46;2023-09-01;0,0
'46;2024-08-01;96,0
'46;2024-10-01;98,0
'49;2025-01-01;0,0
'5;2022-06-01;9,0
'5;2023-04-01;26,0
'5;2024-06-01;99,0
'50;2021-10-01;15,0
'50;2025-12-01;48,0
'51;2020-08-01;23,0
'51;2022-10-01;56,0
'51;2023-12-01;4,0
'51;2024-10-01;0,0
'52;2025-06-01;84,0
'52;2025-08-01;39,0
'58;2021-04-01;41,0
'58;2025-07-01;0,0
'58;2025-08-01;56,0
'59;2021-09-01;65,0
'59;2022-02-01;29,0
'6;2024-05-01;0,0
'6;2024-12-01;0,0
'61;2020-06-01;0,0
'62;2023-08-01;32,0
'62;2023-10-01;78,0
'65;2020-05-01;13,0
'65;2021-08-01;66,0
'65;2024-02-01;49,0
'66;2020-05-01;87,0
'7;2020-09-01;0,0
'7;2023-11-01;0,0
'7;2025-06-01;36,0
'70;2023-12-01;44,0
'71;2024-06-01;0,0
'71;2025-10-01;0,0
'73;2023-04-01;10,0
'73;2024-03-01;18,0
'74;2020-01-01;6,0
