Codigo;Descripcion;Fecha;Documento;Numero;Bodega;Entrada_unid;Salida_unid;Saldo_unid;Valor_Unitario;Costo_Unitario;precio_base;descuento_pct;valor_total;mes;trimestre
CPE-00904;CAJA DE PASE 900X400X200MM CIEGA (F.G.1.20);2021-01-01;Guia de remision - R;DOC-67985;Almacen Central;0;45;-45;3491,4382343703032;2094,8629406221817;3491,4382343703032;3,988734063283086;157114,72054666365;1;1
CPE-00174;CAJA DE PASE 125X125X75MM  (F. G. 1.20);2021-01-01;Salida por Consumo;DOC-90424;Almacen Punto de Ventas 1;0;24;-24;87,5767512911403;52,546050774684176;87,5767512911403;0,2448674010280738;2101,8420309873673;1;1
'17;PLUMON FAB 23 NEGRO;2021-01-01;Entrada por Compra;DOC-19821;Almacen Punto de Venta 2;48;0;48;681,1883767384589;408,71302604307533;681,1883767384589;8,48593298570428;32697,04208344603;1;1
CPE-01108;CAJA DE PASE 350X250X100MM CIEGA (F. G. 1.20);2021-01-02;Entrada por Compra;DOC-15817;Almacen Punto de Venta 2;0;19;-19;4201,002592963493;2520,6015557780956;4201,002592963493;7,690174838675738;79819,04926630636;1;1
TPC-00038;TAPA CIEGA 250X300MM (F.G.0.70);2021-01-02;Entrada por Producci;DOC-14378;Almacen Punto de Ventas 1;14;0;14;1594,975776886568;956,9854661319407;1594,975776886568;3,6550634986620434;22329,660876411952;1;1
CPE-00488;CAJA BORNERA 450X400X200MM CIEGA  C/BARRA DE COBRE Y AISLADORES (F.G. 1.50);2021-01-02;Entrada por Producci;DOC-86667;Almacen Punto de Ventas 1;0;42;-42;2948,765325163979;1769,2591950983874;2948,765325163979;1,9297723280835255;123848,14365688711;1;1
COLG-00005;COLGADORES 1 1/2 TIPO GOTA;2021-01-03;Guia de remision - R;DOC-80295;Almacen Punto de Venta 2;32;0;32;901,1224551823528;540,6734731094117;901,1224551823528;0,11843403154208954;28835,91856583529;1;1
BANR-00045;BANDEJA RANURADA 900X150MM (F.G. 1.20);2021-01-03;Venta Tienda Sin Doc;DOC-27985;Almacen Punto de Ventas 1;0;43;-43;4925,628179847654;2955,3769079085923;4925,628179847654;1,960268430687464;211802,01173344912;1;1
CPE-01088;CAJA DE PASE 1150X300X200MM CIEGA (F.G. 1.50);2021-01-03;Guia de remision - R;DOC-76647;Almacen Central;0;49;-49;1222,023501029023;733,2141006174138;1222,023501029023;5,085954438486202;59879,151550422124;1;1
CPE-00052;CAJA DE PASE 150X150X150MM (F. G. 0.75);2021-01-03;Salida por Consumo;DOC-87243;Almacen Punto de Venta 2;0;7;-7;1018,9232923746385;611,3539754247831;1018,9232923746385;0,3858527733207484;7132,46304662247;1;1
