Codigo;Bodega;Mes;Stock_Unid
'1;Almacen Central;2024-01-01;60
'1;Almacen Punto de Venta 2;2024-11-01;-41
'1;Almacen Punto de Venta 2;2025-05-01;74
'1;Almacen Punto de Ventas 1;2020-05-01;-6
'1;Almacen Punto de Ventas 1;2021-06-01;-91
'1;Almacen Punto de Ventas 1;2022-02-01;46
'10;Almacen Central;2024-04-01;28
'10;Almacen Punto de Ventas 1;2020-03-01;-37
'10;Almacen Punto de Ventas 1;2021-03-01;-45
'11;Almacen Central;2023-12-01;-69
'12;Almacen Punto de Venta 2;2021-06-01;-79
'12;Almacen Punto de Venta 2;2023-10-01;-36
'12;Almacen Punto de Venta 2;2025-09-01;-89
'12;Almacen Punto de Ventas 1;2024-04-01;-54
'13;Almacen Central;2023-07-01;-54
'13;Almacen Central;2025-12-01;-32
'13;Almacen Punto de Venta 2;2023-06-01;-19
'14;Almacen Central;2023-07-01;-83
'14;Almacen Punto de Venta 2;2024-08-01;69
'14;Almacen Punto de Venta 2;2025-04-01;-81
'15;Almacen Central;2021-09-01;-48
'15;Almacen Central;2021-11-01;-56
'15;Almacen Central;2024-02-01;12
'15;Almacen Punto de Venta 2;2024-03-01;8
'15;Almacen Punto de Venta 2;2025-10-01;-2
'15;Almacen Punto de Ventas 1;2020-03-01;-12
'15;Almacen Punto de Ventas 1;2022-05-01;-86
'16;Almacen Punto de Venta 2;2021-11-01;-33
'16;Almacen Punto de Ventas 1;2020-07-01;-36
'16;Almacen Punto de Ventas 1;2023-06-01;62
'17;Almacen Central;2020-05-01;-90
'17;Almacen Central;2024-06-01;-84
'17;Almacen Punto de Venta 2;2024-01-01;-46
'17;Almacen Punto de Venta 2;2025-05-01;38
'17;Almacen Punto de Venta 2;2025-06-01;-4
'17;Almacen Punto de Ventas 1;2022-09-01;-19
'18;Almacen Central;2024-10-01;-54
'18;Almacen Punto de Venta 2;2024-02-01;-78
'18;Almacen Punto de Ventas 1;2020-12-01;73
'19;Almacen Central;2020-08-01;45
'19;Almacen Central;2023-10-01;-44
'19;Almacen Punto de Venta 2;2023-05-01;-78
'2;Almacen Central;2023-06-01;-50
'2;Almacen Punto de Venta 2;2021-12-01;-84
'2;Almacen Punto de Ventas 1;2023-02-01;69
'2;Almacen Punto de Ventas 1;2024-02-01;-90
'20;Almacen Central;2020-08-01;-57
'20;Almacen Central;2021-04-01;-13
'20;Almacen Central;2024-04-01;86
'20;Almacen Punto de Venta 2;2022-03-01;-41
'20;Almacen Punto de Venta 2;2023-03-01;90
'20;Almacen Punto de Ventas 1;2023-09-01;-20
'21;Almacen Punto de Ventas 1;2020-10-01;-30
'21;Almacen Punto de Ventas 1;2025-11-01;-41
'22;Almacen Punto de Venta 2;2021-05-01;-17
'22;Almacen Punto de Venta 2;2022-09-01;-71
'22;Almacen Punto de Venta 2;2024-02-01;-93
'22;Almacen Punto de Ventas 1;2022-09-01;-36
'24;Almacen Central;2024-01-01;-91
'24;Almacen Central;2025-12-01;-93
'24;Almacen Punto de Venta 2;2021-04-01;-47
'24;Almacen Punto de Ventas 1;2021-07-01;-12
'25;Almacen Central;2023-10-01;-18
'25;Almacen Punto de Venta 2;2020-12-01;-92
'26;Almacen Central;2024-12-01;-10
'26;Almacen Central;2025-07-01;-94
'26;Almacen Punto de Venta 2;2020-07-01;-96
'26;Almacen Punto de Venta 2;2025-12-01;-24
'27;Almacen Central;2022-01-01;-31
'27;Almacen Central;2023-04-01;-93
'27;Almacen Central;2024-03-01;-63
'27;Almacen Central;2025-05-01;-81
'27;Almacen Punto de Ventas 1;2024-06-01;48
'27;Almacen Punto de Ventas 1;2025-04-01;-3
'27;Almacen Punto de Ventas 1;2025-07-01;52
'28;Almacen Punto de Venta 2;2024-09-01;-34
'32;Almacen Central;2021-01-01;-3
'32;Almacen Central;2023-04-01;-32
'32;Almacen Punto de Venta 2;2025-02-01;-74
'32;Almacen Punto de Ventas 1;2022-03-01;98
'33;Almacen Punto de Ventas 1;2023-01-01;-75
'33;Almacen Punto de Ventas 1;2024-11-01;70
'34;Almacen Punto de Venta 2;2021-07-01;-65
'35;Almacen Punto de Venta 2;2020-03-01;38
'35;Almacen Punto de Venta 2;2020-12-01;49
'37;Almacen Punto de Venta 2;2024-05-01;-66
'38;Almacen Punto de Ventas 1;2024-09-01;-38
